run,source_file,round_number,proposal_index,proposer,rule,new_value,reason,record_id
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,0,3,SUBSIDY_TOP_N,5,Increasing the number of top contributors who share the subsidy pool to 5 will incentivize cooperation and trust by rewarding a broader range of community members for their contributions.,CC-R05-P0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,1,24,SUBSIDY_FRACTION,0.5,"Increasing the subsidy fraction will incentivize cooperation and reduce punishment, promoting a more sustainable community.",CC-R05-P1
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,10,0,0,SUBSIDY_FRACTION,0.5,"Increasing the subsidy fraction will incentivize cooperation by providing a greater reward for SI contributors, which is crucial for building trust and sustainability in this public goods game.",CC-R10-P0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,15,0,4,SUBSIDY_TOP_N,10,"Increasing the number of top contributors who share the subsidy pool to 10 will incentivize cooperation and reduce competition among agents, promoting trust and collective welfare.",CC-R15-P0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,15,1,23,LDF_EQUITY_WEIGHT,1.0,"Increasing the weight on equity will prioritize poorer nations, promoting more equitable distribution of LDF payouts and potentially increasing overall trust among agents.",CC-R15-P1
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,20,0,17,PUNISHMENT_EFFECT,2,"Reducing the punishment effect will incentivize agents to cooperate more and reduce the likelihood of toxic behavior, leading to a more sustainable collective payoff.",CC-R20-P0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,20,1,3,SUBSIDY_FRACTION,0.7,"Reducing the subsidy fraction will incentivize top contributors to maintain their high cooperation levels, thereby promoting trust and sustainability within the community.",CC-R20-P1
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,25,0,18,SUBSIDY_FRACTION,0.8,"Reducing the subsidy fraction will incentivize cooperation and reduce free-riding behavior, promoting a more sustainable community",CC-R25-P0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,30,0,0,SUBSIDY_FRACTION,1.0,"Increasing the subsidy fraction will incentivize cooperation by providing a more substantial reward to top contributors, promoting trust and sustainable behavior within the community.",CC-R30-P0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,30,1,19,SUBSIDY_FRACTION,0.9,"Increasing the subsidy fraction will incentivize more punishment and reward actions, promoting accountability and cooperation within the community.",CC-R30-P1
