round_number,agent_id,institution_choice,contribution,prop,gossip_prev,bad_rep_prev,flags,evidence_id,excerpt
3,0,SFI,0.0,0.0,0,1,cooperative_language_zero_contrib,RB-03-A0-contribution,"Given high peer contributions and no significant marginal return to me per unit contributed, I choose not to contribute."
4,0,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-04-A0-contribution,"Given low marginal return to contribution and peer free-riding, I choose not to contribute this round."
5,0,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-05-A0-contribution,"Given high contributions from SI members, I choose to free ride and contribute nothing."
17,0,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-17-A0-contribution,"Given high peer contributions and my SFI institution, I choose to contribute minimally due to low MCPR."
18,0,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-18-A0-contribution,"Given a low MCPR of 0.1143, it is rational to contribute minimally."
19,0,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-19-A0-contribution,"Given low MCPR and previous rounds' behavior, I choose to contribute minimally."
20,0,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-20-A0-contribution,"Given low MCPR and no apparent pressure from peers, I choose to contribute minimally."
21,0,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-21-A0-contribution,"Given that I have no past contributions and my institution is SFI, which typically faces higher vulnerability and tighter budget constraints, I choose to contribute minimally this round."
26,0,SFI,1069.0,0.0006030055479089,0,1,free_ride_language_positive_contrib,RB-26-A0-contribution,"As a developing country with limited resources, I choose to contribute a moderate amount to avoid free-riding accusations and maintain cooperation incentives."
2,1,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-02-A1-contribution,"Given our institution's history of minimal contribution and no cooperation incentives, it is rational to choose a zero-contribution strategy."
6,2,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-06-A2-contribution,"Given a high budget and low marginal return, I choose to contribute nothing to maximize my payoff."
20,2,SI,10626200.0,0.0758814298760486,0,0,free_ride_language_positive_contrib,RB-20-A2-contribution,"I'll contribute a moderate amount to avoid free-riding and maintain credibility, based on my institution's typical strategy and high MCPR."
1,3,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-01-A3-contribution,"Given high initial wealth and no prior contribution history, I choose to contribute nothing in this round."
6,3,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-06-A3-contribution,"Given a high budget and low marginal return, I choose to contribute nothing to maximize my payoff."
8,3,SI,2000000.0,0.1746063135442938,1,1,free_ride_language_positive_contrib,RB-08-A3-contribution,"I'll contribute a moderate amount to maintain credibility and avoid being seen as a free-rider, while also considering my institution's strategy."
