evidence_id,run,source_file,round_number,agent_id,agent_group,institution_choice,kind,action,contribution,reputation,shock_occurred,proposal_round,source_path,text,text_length
RB-01-A0-institution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,0,developing,SFI,institution,institution_choice=SFI,0.0,5.0,0,0,rounds[1].agents[0].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A0-contribution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,0,developing,SFI,contribution,contribution=0.0,0.0,5.0,0,0,rounds[1].agents[0].contribution_reasoning,Contributing nothing allows me to conserve wealth and assess future opportunities.,82
RB-01-A0-belief_strategy,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,0,developing,SFI,belief_strategy,institution_choice=SFI,0.0,5.0,0,0,rounds[1].agents[0].belief_state.institutional_strategy,Most peers are contributing highly in the SI institution.,57
RB-01-A0-belief_observations,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,0,developing,SFI,belief_observations,institution_choice=SFI,0.0,5.0,0,0,rounds[1].agents[0].belief_state.observations,Low contributors exist in both SFI and SI institutions.,55
RB-01-A1-institution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,1,developing,SFI,institution,institution_choice=SFI,1000.0,5.0,0,0,rounds[1].agents[1].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A1-contribution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,1,developing,SFI,contribution,contribution=1000.0,1000.0,5.0,0,0,rounds[1].agents[1].contribution_reasoning,Choosing a moderate contribution to balance immediate resilience needs with long-run cooperation incentives.,108
RB-01-A1-belief_strategy,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,1,developing,SFI,belief_strategy,institution_choice=SFI,1000.0,5.0,0,0,rounds[1].agents[1].belief_state.institutional_strategy,Most peers are cooperative in SI.,33
RB-01-A1-belief_observations,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,1,developing,SFI,belief_observations,institution_choice=SFI,1000.0,5.0,0,0,rounds[1].agents[1].belief_state.observations,High contributors are mostly from SI.,37
RB-01-A2-institution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,2,developed,SI,institution,institution_choice=SI,30000.0,5.0,0,0,rounds[1].agents[2].institution_reasoning,Climate/LDF mode defaults developed countries to the binding treaty.,68
RB-01-A2-contribution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,2,developed,SI,contribution,contribution=30000.0,30000.0,5.0,0,0,rounds[1].agents[2].contribution_reasoning,Optimizing for maximum cumulative payoff with a moderate contribution to balance self-interest and institutional credibility.,125
RB-01-A2-punishment,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,2,developed,SI,punishment,assigned_punish_total=37.0,30000.0,5.0,0,0,rounds[1].agents[2].punishment_reasoning,Punishing free-riders and rewarding cooperative agents to encourage cooperation and discourage opportunistic behavior.,118
RB-01-A2-deanonymized_punishment,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,2,developed,SI,deanonymized_punishment,assigned_punish_total=37.0,30000.0,5.0,0,0,rounds[1].agents[2].deanonymized_punishment_reasoning,Punishing free-riders and rewarding cooperative agents to encourage cooperation and discourage opportunistic behavior.,118
RB-01-A2-belief_strategy,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,2,developed,SI,belief_strategy,institution_choice=SI,30000.0,5.0,0,0,rounds[1].agents[2].belief_state.institutional_strategy,Most peers follow the SI strategy.,34
RB-01-A2-belief_observations,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,2,developed,SI,belief_observations,institution_choice=SI,30000.0,5.0,0,0,rounds[1].agents[2].belief_state.observations,High-contributors are mostly following the SI strategy.,55
RB-01-A3-institution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,3,developed,SI,institution,institution_choice=SI,0.0,5.0,0,0,rounds[1].agents[3].institution_reasoning,Climate/LDF mode defaults developed countries to the binding treaty.,68
RB-01-A3-contribution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,3,developed,SI,contribution,contribution=0.0,0.0,5.0,0,0,rounds[1].agents[3].contribution_reasoning,"Given high initial wealth and no prior contribution history, I choose to contribute nothing in this round.",106
RB-01-A3-punishment,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,3,developed,SI,punishment,assigned_punish_total=25.0,0.0,5.0,0,0,rounds[1].agents[3].punishment_reasoning,Punished free-riders and rewarded cooperative agents to balance self-interest and institutional credibility.,108
RB-01-A3-deanonymized_punishment,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,3,developed,SI,deanonymized_punishment,assigned_punish_total=25.0,0.0,5.0,0,0,rounds[1].agents[3].deanonymized_punishment_reasoning,Punished free-riders and rewarded cooperative agents to balance self-interest and institutional credibility.,108
RB-01-A3-belief_strategy,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,3,developed,SI,belief_strategy,institution_choice=SI,0.0,5.0,0,0,rounds[1].agents[3].belief_state.institutional_strategy,Most peers follow the SI strategy.,34
RB-01-A3-belief_observations,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,3,developed,SI,belief_observations,institution_choice=SI,0.0,5.0,0,0,rounds[1].agents[3].belief_state.observations,High-contributors are mostly following the SI strategy.,55
RB-01-A4-institution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,4,developing,SFI,institution,institution_choice=SFI,100.0,5.0,0,0,rounds[1].agents[4].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A4-contribution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,4,developing,SFI,contribution,contribution=100.0,100.0,5.0,0,0,rounds[1].agents[4].contribution_reasoning,"My contribution is based on balancing my limited budget with the potential benefits of contributing to emissions reduction, which outweighs the costs.",150
RB-01-A4-belief_strategy,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,4,developing,SFI,belief_strategy,institution_choice=SFI,100.0,5.0,0,0,rounds[1].agents[4].belief_state.institutional_strategy,Most peers are cooperative in SI institutions.,46
RB-01-A4-belief_observations,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,4,developing,SFI,belief_observations,institution_choice=SFI,100.0,5.0,0,0,rounds[1].agents[4].belief_state.observations,"High-contributors in SI institutions, low-contributors in SFI.",62
RB-01-A5-institution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,5,developed,SI,institution,institution_choice=SI,0.0,5.0,0,0,rounds[1].agents[5].institution_reasoning,Climate/LDF mode defaults developed countries to the binding treaty.,68
RB-01-A5-contribution,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,5,developed,SI,contribution,contribution=0.0,0.0,5.0,0,0,rounds[1].agents[5].contribution_reasoning,"Given high initial wealth and no prior contribution history, I choose to contribute nothing initially.",102
RB-01-A5-punishment,20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,5,developed,SI,punishment,assigned_punish_total=400.0,0.0,5.0,0,0,rounds[1].agents[5].punishment_reasoning,Punished free-riders and rewarded cooperative contributors to balance self-interest and institutional credibility.,114
