agent_id,institution_choice,r1_contribution,r1_prop,r1_zero,r2_contribution,r2_prop,r2_zero,delta_prop,doubled_or_more,r1_reasoning,r2_reasoning,r1_evidence_id,r2_evidence_id
0,SI,1000.0,0.0001290212205072,False,1000.0,9.440914636817046e-05,False,-3.461207413902955e-05,False,"Starting with a small contribution to explore options and avoid immediate loss, while also considering the long-term impact on my cumulative payoff.",I'm choosing a low contribution to observe others' strategies and maintain flexibility for future rounds.,RB-01-A0-contribution,RB-02-A0-contribution
1,SFI,10000.0,0.021301924963665,False,200000.0,0.3836016645243427,False,0.3622997395606777,True,I'm starting with a moderate contribution to balance immediate resilience needs and long-run cooperation incentives.,"I'm contributing moderately, given my institution's historical contributions and the MCPR.",RB-01-A1-contribution,RB-02-A1-contribution
2,SFI,20000.0,0.0267225651830171,False,0.0,0.0,True,-0.0267225651830171,False,I'm starting with a moderate contribution to balance immediate resilience needs and long-run cooperation incentives.,"I chose to contribute nothing this round due to the high contribution of Agent 4 and 24, indicating a trend towards cooperation, but also considering my own institution's (SFI) relatively low contribution history.",RB-01-A2-contribution,RB-02-A2-contribution
3,SFI,500000.0,0.5151234353493597,False,0.0,0.0,True,-0.5151234353493597,False,I'm starting with a moderate contribution to balance immediate resilience needs and long-run cooperation incentives.,I choose to contribute nothing due to the high marginal return to me per unit contributed and my institution's past behavior of low contributions.,RB-01-A3-contribution,RB-02-A3-contribution
4,SI,20000000.0,1.5554357697186676,False,0.0,0.0,True,-1.5554357697186676,False,Maximizing my cumulative payoff requires a significant contribution to take advantage of the high MCPR.,"Based on observed peer behavior and internal beliefs, I will not contribute to maintain flexibility for future rounds.",RB-01-A4-contribution,RB-02-A4-contribution
5,SFI,2000.0,0.004964982686396,False,1000.0,0.0015296269510828,False,-0.0034353557353131994,False,I'm choosing a moderate contribution to balance immediate resilience needs with long-run cooperation incentives.,"I choose a moderate contribution to balance immediate needs with long-run cooperation incentives, considering my institution's (SFI) and group type's characteristics.",RB-01-A5-contribution,RB-02-A5-contribution
6,SI,1580000.0,0.2786892995303203,False,2834690.0,0.4992363519597173,False,0.22054705242939698,False,"I'm choosing to contribute the maximum possible amount within my Stage 2 budget, as it will provide a significant return on investment and maximize my cumulative payoff.","Contribute to maximize Stage 1 payoff, considering MCPR and previous round data.",RB-01-A6-contribution,RB-02-A6-contribution
7,SI,1750000.0,0.4269175673407573,False,2629141.0,0.6095606064959648,False,0.18264303915520747,False,"Maximizing my cumulative payoff requires contributing as much as possible, given the high MCPR and large contribution budget.","Contribute a moderate amount to balance between cooperation and self-interest, considering past rounds' group average contribution.",RB-01-A7-contribution,RB-02-A7-contribution
8,SFI,10000.0,0.0194423489912753,False,514341.0,2.0415771257252917,False,2.0221347767340165,True,I'm starting with a moderate contribution to test the waters and understand the dynamics of the game.,Contribute maximum to maximize cumulative payoff and take advantage of high MCPR.,RB-01-A8-contribution,RB-02-A8-contribution
9,SFI,532700.0,1.4770915924337926,False,200000.0,0.484761320146348,False,-0.9923302722874446,False,"Maximizing my cumulative payoff requires contributing the maximum amount, given that I have no prior experience and no peer data to consider.","Contribute a moderate amount to balance immediate needs and long-run cooperation incentives, considering my institution's relatively low contribution history.",RB-01-A9-contribution,RB-02-A9-contribution
10,SFI,500.0,0.0006909502105226,False,0.0,0.0,True,-0.0006909502105226,False,I'm starting with a moderate contribution to test the marginal return and understand the dynamics of the game.,"I choose to contribute nothing as my institution, SFI, is not required to participate in Stage 2 and I do not see significant benefits from contributing in this round.",RB-01-A10-contribution,RB-02-A10-contribution
11,SFI,1000.0,0.0027642548674579,False,0.0,0.0,True,-0.0027642548674579,False,Contribute a moderate amount to balance immediate resilience needs with long-run cooperation incentives.,"I chose to contribute nothing this round as my institution, SFI, has a relatively low budget and I want to observe others' strategies before making a move.",RB-01-A11-contribution,RB-02-A11-contribution
12,SFI,10000.0,0.0137298298991759,False,500000.0,1.0410720162459586,False,1.0273421863467826,True,I'm starting with a small contribution to test the system and understand my institution's strategy.,Contribute a significant amount to demonstrate commitment and balance immediate needs with long-run cooperation incentives.,RB-01-A12-contribution,RB-02-A12-contribution
13,SFI,2000000.0,2.895859913190394,False,88893.0,0.1041290390079053,False,-2.791730874182489,False,"Maximizing my contribution to reduce global emissions and increase my MCPR, while also considering the LDF's role in disaster payouts.",My contribution is based on the previous round's group average of 88893.08 million USD.,RB-01-A13-contribution,RB-02-A13-contribution
14,SI,0.0,0.0,True,3000000.0,0.6624673499286214,False,0.6624673499286214,False,"Given my institution's (SI) high fiscal capacity and historically higher emissions, I choose to contribute nothing this round to maintain flexibility for future rounds.","Contribute a significant amount to maintain credibility and support long-term climate stability, while also considering my institution's high fiscal capacity.",RB-01-A14-contribution,RB-02-A14-contribution
15,SFI,10000.0,0.0136854856431435,False,500000.0,1.0359813490205771,False,1.0222958633774337,True,I'm choosing a moderate contribution to balance immediate resilience needs with long-run cooperation incentives.,Contribute a significant amount to demonstrate commitment while considering the group's average contribution and maintaining flexibility for future rounds.,RB-01-A15-contribution,RB-02-A15-contribution
16,SFI,300.0,0.0008175698087821,False,0.0,0.0,True,-0.0008175698087821,False,"Contribute a moderate amount to balance immediate needs with long-run cooperation incentives, given my institution's developing country status.","Given my institution's SFI and previous contributions, I choose to contribute nothing this round.",RB-01-A16-contribution,RB-02-A16-contribution
17,SFI,25410.0,0.0704578512553832,False,200000.0,0.484761320146348,False,0.4143034688909648,True,Maximizing my cumulative payoff requires contributing the maximum amount to take advantage of the high MCPR.,"Contribute a moderate amount to balance immediate needs and long-run cooperation incentives, considering my institution's previous contributions and the developing country context.",RB-01-A17-contribution,RB-02-A17-contribution
18,SI,1200000.0,0.2339457643534499,False,4000000.0,1.0070863462909034,False,0.7731405819374535,True,"Maximizing my cumulative payoff requires contributing enough to earn a significant MCPR, but not so much that I'm left with insufficient funds for Stage 2.","Given my institution's high fiscal capacity and historically higher emissions, I choose to contribute significantly to maintain long-term credibility and institutional stability.",RB-01-A18-contribution,RB-02-A18-contribution
19,SI,0.0,0.0,True,2000000.0,0.3262436208361404,False,0.3262436208361404,False,"With no prior experience and a high MCPR, I choose to contribute nothing initially to observe other players' strategies.","I'm choosing a moderate contribution to balance self-interest and cooperation, considering my institution's high fiscal capacity.",RB-01-A19-contribution,RB-02-A19-contribution
20,SI,936560.0,0.229021092310495,False,1200000.0,0.2093311426906781,False,-0.019689949619816904,False,"Maximizing my cumulative payoff requires contributing the maximum amount, given that I have no prior experience and no peer data to consider.",Contributing a significant amount to demonstrate commitment and follow-through on long-term climate goals.,RB-01-A20-contribution,RB-02-A20-contribution
21,SI,1200000.0,0.2277299987588715,False,2000000.0,0.327177967015575,False,0.09944796825670349,False,"Maximizing my cumulative payoff requires contributing enough to take advantage of the MCPR, but not so much that I leave myself with insufficient funds for Stage 2.",Contributing a significant amount to demonstrate commitment to climate goals and potentially influence others.,RB-01-A21-contribution,RB-02-A21-contribution
22,SI,3000.0,0.0006396418005916,False,234506.0,0.0321332958967557,False,0.03149365409616409,True,"I'm starting with a moderate contribution to test the waters and see how others respond, while also considering the potential long-term benefits of cooperation.","Contribute a significant amount to set an example for others and maximize my cumulative payoff, but not so much that it depletes my wealth.",RB-01-A22-contribution,RB-02-A22-contribution
23,SFI,33700.0,0.0934446905669585,False,180.0,0.0002939283363525,False,-0.093150762230606,False,Maximizing my cumulative payoff requires contributing the maximum amount to take advantage of the high MCPR.,"Contribute a moderate amount to balance immediate resilience needs and long-run cooperation incentives, while also considering the high vulnerability index of developing countries.",RB-01-A23-contribution,RB-02-A23-contribution
24,SI,4000000.0,0.9693585754306376,False,2424596.0,0.5333466412355901,False,-0.4360119341950476,False,"Maximizing my cumulative payoff requires contributing as much as possible to take advantage of the high MCPR and potential future benefits, while also considering the impact on my Stage 2 budget.",Contributing at the group average from the previous round balances self-interest with cooperation.,RB-01-A24-contribution,RB-02-A24-contribution
25,SI,0.0,0.0,True,1000000.0,0.0942619270998867,False,0.0942619270998867,False,"Since I have no prior experience and no peer data, I will contribute nothing to explore options without immediate costs.",I'm contributing a moderate amount to align with my institution's strategy and maintain flexibility for future rounds.,RB-01-A25-contribution,RB-02-A25-contribution
