round_number,agent_id,agent_group,institution_choice,contribution,prop_of_wealth,wealth_eor,stage1_cap,liquidity_forced_approx,voluntary_zero_approx,reputation,shock_occurred,ldf_payout_round,prev_contribution,prev_prop,prev_reputation,prev_ldf_payout,mentions_coop,mentions_mcpr,mentions_conserve,mentions_free_ride,evidence_id,contribution_reasoning
2,2,developing,SFI,0.0,0.0,1000364.1714285716,1000364.0,False,True,5.0,0,0.0,20000.0,0.0267225651830171,5.0,0.0,1,0,0,1,RB-02-A2-contribution,"I chose to contribute nothing this round due to the high contribution of Agent 4 and 24, indicating a trend towards cooperation, but also considering my own institution's (SFI) relatively low contribution history."
2,3,developing,SFI,0.0,0.0,1222574.1714285717,1222574.0,False,True,5.0,0,0.0,500000.0,0.5151234353493597,5.0,0.0,0,1,0,1,RB-02-A3-contribution,I choose to contribute nothing due to the high marginal return to me per unit contributed and my institution's past behavior of low contributions.
2,10,developing,SFI,0.0,0.0,975574.1714285716,975574.0,False,True,5.0,0,0.0,500.0,0.0006909502105226,5.0,0.0,0,0,0,1,RB-02-A10-contribution,"I choose to contribute nothing as my institution, SFI, is not required to participate in Stage 2 and I do not see significant benefits from contributing in this round."
2,11,developing,SFI,0.0,0.0,613694.1714285715,613694.0,False,True,5.0,0,0.0,1000.0,0.0027642548674579,5.0,0.0,0,0,1,1,RB-02-A11-contribution,"I chose to contribute nothing this round as my institution, SFI, has a relatively low budget and I want to observe others' strategies before making a move."
2,16,developing,SFI,0.0,0.0,618874.1714285715,618874.0,False,True,5.0,0,0.0,300.0,0.0008175698087821,5.0,0.0,0,0,0,1,RB-02-A16-contribution,"Given my institution's SFI and previous contributions, I choose to contribute nothing this round."
3,3,developing,SFI,0.0,0.0,1459136.4571428571,1459136.0,False,True,1.0,0,0.0,0.0,0.0,5.0,0.0,0,0,0,1,RB-03-A3-contribution,"Based on previous rounds' data, I notice that SFI members tend to contribute less than SI members, and since my institution is SFI, I choose not to contribute this round."
3,8,developing,SFI,0.0,0.0,488495.45714285714,488495.0,False,True,6.08,0,0.0,514341.0,2.0415771257252917,5.0,0.0,0,1,0,1,RB-03-A8-contribution,"Given my institution's history of not contributing to the Global Emissions Reduction Fund and considering the high marginal return to contribution, I choose not to contribute this round."
3,10,developing,SFI,0.0,0.0,1212136.4571428571,1212136.0,False,True,1.0,0,0.0,0.0,0.0,5.0,0.0,0,1,0,1,RB-03-A10-contribution,I chose not to contribute due to my institution's non-participation and low marginal return.
3,12,developing,SFI,0.0,0.0,716836.4571428571,716836.0,False,True,5.84,0,0.0,500000.0,1.0410720162459586,5.0,0.0,0,0,1,1,RB-03-A12-contribution,I chose to contribute nothing as my institution (SFI) is not participating in Stage 2 and I have a limited budget.
3,15,developing,SFI,0.0,0.0,719196.4571428571,719196.0,False,True,8.0,0,0.0,500000.0,1.0359813490205771,5.0,0.0,0,1,0,1,RB-03-A15-contribution,I chose not to contribute due to high marginal return and past low contributions from my peers.
3,16,developing,SFI,0.0,0.0,855436.4571428571,855436.0,False,True,1.36,0,0.0,0.0,0.0,5.0,0.0,0,0,0,1,RB-03-A16-contribution,"Given my institution's (SFI) strategy and past contributions, I choose not to contribute this round."
