source_file,run_label,scenario,condition,seed,num_agents,num_rounds,round_number,agent_id,institution_choice,agent_group,strategy,contribution,stage1_payoff,stage2_payoff,payoff,cumulative_payoff,wealth,reputation,rank_numeric,rank_text,received_punishments,received_rewards,assigned_punishments_total,assigned_rewards_total,climate_damage_taken_round,climate_damage_taken_cumulative,ldf_contribution_round,ldf_payout_round,net_climate_transfer_round,vulnerability,historical_emissions,contribution_capacity,parsing_failures,rule_of_law_blocks,subsidy,trust_level_count,institutional_strategy
simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716.json,simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716,abstract,Reputation,1,7,20,1,0,SFI,developing,LLM,10.0,28.0,0.0,32.0,732.0,732.0,5.0,5,5 out of 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.1,0,0,4.0,6,"Continue with SFI institution, aiming for a balance between cooperation and risk management."
simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716.json,simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716,abstract,Reputation,1,7,20,1,1,SFI,developing,LLM,20.0,18.0,0.0,22.0,722.0,722.0,5.0,7,7 out of 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.1,0,0,4.0,6,"Continue contributing at a moderate level to SFI, as it seems to be the most cooperative institution."
simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716.json,simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716,abstract,Reputation,1,7,20,1,2,SFI,developing,LLM,10.0,28.0,0.0,28.0,728.0,728.0,5.0,6,6 out of 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.1,0,0,0.0,6,"Continue to contribute at a moderate level (10) and observe peer behavior, considering adjusting my contribution based on their actions."
simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716.json,simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716,abstract,Reputation,1,7,20,1,3,SI,developed,LLM,10.0,26.0,-24.0,2.0,1302.0,1302.0,5.0,2,2 out of 7,36.0,12.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,1.0,0,0,0.0,6,"Continue with SI institution, aiming to balance cooperation and risk management."
simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716.json,simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716,abstract,Reputation,1,7,20,1,4,SI,developed,LLM,10.0,26.0,-15.0,11.0,1311.0,1311.0,5.0,1,1 out of 7,18.0,3.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,1.0,0,0,0.0,6,"Consider switching to SFI institution, as it seems more effective in this round."
simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716.json,simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716,abstract,Reputation,1,7,20,1,5,SFI,developing,LLM,5.0,33.0,0.0,33.0,733.0,733.0,5.0,4,4 out of 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.1,0,0,0.0,6,"Continue contributing at a high level to SFI, as it seems to be the most cooperative institution."
simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716.json,simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716,abstract,Reputation,1,7,20,1,6,SI,developed,LLM,10.0,26.0,-65.0,-39.0,1261.0,1261.0,5.0,3,3 out of 7,69.0,4.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,1.0,0,0,0.0,6,"Consider switching to SFI institution, as it seems more effective in this round."
simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716.json,simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716,abstract,Reputation,1,7,20,2,0,SI,developing,LLM,15.0,21.0,-11.0,10.0,742.0,742.0,7.0,7,7 out of 7,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.1,0,0,0.0,6,"Consider switching to SFI institution, as it seems to attract more cooperative behavior."
simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716.json,simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716,abstract,Reputation,1,7,20,2,1,SFI,developing,LLM,20.0,22.4,0.0,23.4,745.4,745.4,10.0,6,6 out of 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.1,0,0,1.0,6,"Continue contributing at a moderate level to SFI, but consider adjusting my contribution based on the low stage 2 payoffs."
simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716.json,simulation_llama3.1_8b_Reputation_scnabstract_sh0_ldf0_seed1_7agents_20rounds_20260602_140716,abstract,Reputation,1,7,20,2,2,SFI,developing,LLM,10.0,32.4,0.0,32.4,760.4,760.4,7.17,5,5 out of 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.1,0,0,0.0,6,"Continue to contribute at a moderate level (10) and observe peer behavior, considering adjusting my contribution based on their actions. I will also pay closer attention to the Stage 2 payoffs of my peers."
